Date,Open,High,Low,Close,Adj Close,Volume
2019-04-24,207.36,208.48,207.05,207.16,205.58,17540600
2019-04-25,206.83,207.76,205.12,205.28,203.72,18543200
2019-04-26,204.9,205.0,202.12,204.3,202.75,18649100
2019-04-29,204.4,205.97,203.86,204.61,203.05,22204700
2019-04-30,203.06,203.4,199.11,200.67,199.14,46534900
2019-05-01,209.88,215.31,209.23,210.52,208.92,64827300
2019-05-02,209.84,212.65,208.13,209.15,207.56,31996300
2019-05-03,210.89,211.84,210.23,211.75,210.14,20892400
2019-05-06,204.29,208.84,203.5,208.48,206.89,32443100
2019-05-07,205.88,207.42,200.83,202.86,201.32,38763700
2019-05-08,201.9,205.34,201.75,202.9,201.36,26339500
2019-05-09,200.4,201.68,196.66,200.72,199.19,34908600
2019-05-10,197.42,198.85,192.77,197.18,196.43,41208700
2019-05-13,187.71,189.48,182.85,185.72,185.02,57430600
2019-05-14,186.41,189.7,185.41,188.66,187.95,36529700
2019-05-15,186.27,191.75,186.02,190.92,190.2,26544700
2019-05-16,189.91,192.47,188.84,190.08,189.36,33031400
2019-05-17,186.93,190.9,186.76,189.0,188.28,32879100
2019-05-20,183.52,184.35,180.28,183.09,182.4,38612300
2019-05-21,185.22,188.0,184.7,186.6,185.89,28364800
2019-05-22,184.66,185.71,182.55,182.78,182.09,29748600
2019-05-23,179.8,180.54,177.81,179.66,178.98,36529700
2019-05-24,180.2,182.14,178.62,178.97,178.29,23714700
2019-05-28,178.92,180.59,177.91,178.23,177.56,27948200
2019-05-29,176.42,179.35,176.0,177.38,176.71,28481200
2019-05-30,177.95,179.23,176.67,178.3,177.63,21218400
2019-05-31,176.23,177.99,174.99,175.07,174.41,27043600
2019-06-03,175.6,177.92,170.27,173.3,172.64,40396100
2019-06-04,175.44,179.83,174.52,179.64,178.96,30968000
2019-06-05,184.28,184.99,181.14,182.54,181.85,29773400
2019-06-06,183.08,185.47,182.15,185.22,184.52,22526300
2019-06-07,186.51,191.92,185.77,190.15,189.43,30684400
2019-06-10,191.81,195.37,191.62,192.58,191.85,26220900
2019-06-11,194.86,196.0,193.6,194.81,194.07,26932900
2019-06-12,193.95,195.97,193.39,194.19,193.45,18253200
2019-06-13,194.7,196.79,193.6,194.15,193.42,21674600
2019-06-14,191.55,193.59,190.3,192.74,192.01,18761500
2019-06-17,192.9,194.96,192.17,193.89,193.16,14669100
2019-06-18,196.05,200.29,195.21,198.45,197.7,26551000
2019-06-19,199.68,199.88,197.31,197.87,197.12,21124200
2019-06-20,200.37,200.61,198.03,199.46,198.71,21514000
2019-06-21,198.8,200.85,198.15,198.78,198.03,47800600
2019-06-24,198.54,200.16,198.17,198.58,197.83,18220400
2019-06-25,198.43,199.26,195.29,195.57,194.83,21070300
2019-06-26,197.77,200.99,197.35,199.8,199.04,26067500
2019-06-27,200.29,201.57,199.57,199.74,198.98,20899700
2019-06-28,198.68,199.5,197.05,197.92,197.17,31110600
2019-07-01,203.17,204.49,200.65,201.55,200.79,27316700
2019-07-02,201.41,203.13,201.36,202.73,201.96,16935200
2019-07-03,203.28,204.44,202.69,204.41,203.64,11362000
2019-07-05,203.35,205.08,202.9,204.23,203.46,17265500
2019-07-08,200.81,201.4,198.41,200.02,199.26,25338600
2019-07-09,199.2,201.51,198.81,201.24,200.48,20578000
2019-07-10,201.85,203.73,201.56,203.23,202.46,17897100
2019-07-11,203.31,204.39,201.71,201.75,200.99,20191800
2019-07-12,202.45,204.0,202.2,203.3,202.53,17595200
2019-07-15,204.09,205.87,204.0,205.21,204.43,16947400
2019-07-16,204.59,206.11,203.5,204.5,203.73,16866800
2019-07-17,204.05,205.09,203.27,203.35,202.58,14107500
2019-07-18,204.0,205.88,203.7,205.66,204.88,18582200
2019-07-19,205.79,206.5,202.36,202.59,201.82,20929300
2019-07-22,203.65,207.23,203.61,207.22,206.44,22277900
2019-07-23,208.46,208.91,207.29,208.84,208.05,18355200
